index,case:concept:name,activity,type,act_str
466,case_205C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7]",C,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7]"
54,case_104C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7]",C,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7]"
527,case_261C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7]",C,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7]"
114,case_110C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7]",C,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7]"
691,case_50C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7]",C,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7]"
497,case_231C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7]",C,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7]"
171,case_118C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7]",C,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7]"
514,case_251C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7]",C,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7]"
825,case_75C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7]",C,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7]"
72,case_106C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7]",C,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7]"
468,case_207C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7]",C,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7]"
144,case_114C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7]",C,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7]"
470,case_20C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7]",C,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7]"
501,case_235C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7]",C,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 3, 4, 7]"
12,case_100C1,"[0, 1, 2, 7, 0, 5, 6, 7]",C,"[0, 1, 2, 7, 0, 5, 6, 7]"
452,case_192C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7]",C,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7]"
438,case_186C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7]",C,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7]"
338,case_140C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7]",C,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7]"
487,case_227C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7]",C,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7]"
411,case_15C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7]",C,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7]"
317,case_138C1,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7]",C,"[0, 1, 2, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7]"
407,case_157C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7]",C,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7]"
518,case_258C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7]",C,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7]"
507,case_240C1,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7]",C,"[0, 1, 2, 7, 0, 3, 4, 7, 0, 5, 6, 7, 0, 5, 6, 7, 0, 3, 4, 7, 0, 3, 4, 7]"
